# Copyright (c) 2023, Arm Limited.
# SPDX-License-Identifier: Apache-2.0
# Auto-generated from actuation_format_bag
1672931038976504417,0x1.0c9838p-1,0x1.1c6d78p-28,0x1.9d33bep-6,0x0p+0
1672931039001307857,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039026498240,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039051253175,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039076238152,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039102212109,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039126258747,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039151250638,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039176232067,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039201663088,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039226357474,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039251297773,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039276838641,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039301728656,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039326327870,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039351282360,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039376097772,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039401343378,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039426424988,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039451397747,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039476188859,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039501332593,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039526543103,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039551355638,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039577031280,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039601381182,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039626417869,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039651481780,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039676506389,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039701396168,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039727276197,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039751186556,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039776468995,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039801215460,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039826489102,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039851521592,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039876364924,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039901286515,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039926267000,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039951609293,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931039976221312,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931040001454759,0x1.114e3cp-1,0x1p-2,0x1.9d33b6p-6,0x0p+0
1672931040026570650,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040051276165,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040078281735,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040101322935,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040126373560,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040151300172,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040176331835,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040201296414,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040226354525,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040251218835,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040276293068,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040301380503,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040326555750,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040351332407,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040376126972,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040401116423,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040426130167,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040451140463,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040476212125,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040501281568,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040527174706,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040551467612,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040576212977,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040601654822,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040626352026,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040651354000,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040676265689,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040701341357,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040726445423,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040752126622,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040776215997,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040801436316,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040826317982,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040851185568,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040876480092,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040901284502,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
1672931040926253262,0x1.0eaeaep-1,0x1.ffff08p-3,0x1.f3443p-6,0x0p+0
